318 857 121 749 745
209 794 335 562 775
158 972 967 67 946
181 289 888 477 188
677 285 881 554 863
375 88 280 166 610
865 907 671 197 17
145 756 55 572 487
659 675 151 172 134
258 727 91 34 868
914 990 902 666 977
392 363 487 74 40
396 568 23 623 119
546 813 1 78 196
912 204 20 897 321
799 38 309 262 463
779 199 323 737 10
217 190 752 638 770
785 111 766 947 12
481 746 25 253 209
162 303 585 839 747
311 311 583 112 292
14 224 461 610 544
329 206 415 686 364
576 115 767 638 366
417 417 69 274 417
924 481 198 148 157
720 704 988 863 855
554 729 246 177 412
495 171 536 360 154
97 91 272 910 144
533 511 611 692 473
441 121 749 756 736
47 554 316 428 283
880 825 225 28 777
423 93 98 213 850
224 984 152 849 523
127 991 23 380 504
531 976 15 40 232
107 479 723 582 492
521 375 862 903 533
282 70 892 527 99
271 792 362 471 261
271 731 779 560 535
438 333 525 937 705
844 960 159 697 522
618 618 618 536 812
153 101 807 869 891
624 902 157 183 199
713 555 234 839 596
672 406 595 341 34
758 319 302 683 467
248 308 589 850 788
557 315 324 169 356
245 72 245 227 245
559 233 674 390 827
346 839 789 568 442
271 775 901 644 922
641 159 788 601 563
819 416 22 535 23
934 294 291 852 958
154 711 587 733 723
210 500 964 656 342
772 293 641 57 557
258 602 653 833 26
626 264 18 382 204
510 69 258 842 667
272 608 254 534 876
263 308 758 1 862
397 880 201 590 254
456 340 911 889 499
167 187 695 942 135
264 340 113 887 485
420 535 353 655 951
72 152 872 619 638
546 509 572 893 495
24 597 753 659 344
241 916 945 119 363
342 59 501 196 867
89 981 760 414 82
19 78 158 849 853
463 113 614 194 304
647 728 903 323 621
444 109 512 232 842
309 912 178 720 650
949 80 11 995 679
140 140 140 211 318
488 785 140 325 497
139 392 874 523 787
322 403 324 907 44
637 985 78 694 892
982 956 909 592 84
488 115 430 816 375
323 142 307 1 874
772 295 116 422 554
222 110 365 800 925
897 738 448 401 676
631 953 439 975 182
485 394 166 111 432
663 751 275 17 516
66 459 635 265 204
435 69 288 911 228
575 504 749 44 758
754 460 421 316 678
493 988 710 632 134
525 831 560 965 352
468 922 841 190 345
752 520 167 809 752
215 136 489 650 199
503 804 1 612 688
549 866 148 893 750
267 267 295 693 754
32 855 630 9 251
588 745 728 203 705
78 430 809 585 820
764 686 127 372 775
282 178 563 974 342
417 467 887 291 639
649 556 894 992 98
750 208 858 522 213
298 43 415 874 7
175 30 72 208 25
110 987 685 491 915
564 150 189 365 796
896 731 919 447 736
126 815 937 601 410
152 194 926 276 234
794 422 477 633 429
749 531 899 956 415
670 305 763 367 807
206 845 710 629 305
962 535 287 705 596
149 828 770 53 801
393 548 528 598 442
844 100 715 453 390
911 902 421 828 421
429 765 163 3 805
669 7 690 2 709
841 503 313 839 348
52 854 154 606 536
455 527 934 959 526
214 838 38 691 547
465 106 760 213 315
529 118 681 386 456
494 116 292 933 690
886 340 549 223 209
819 906 81 309 165
308 979 265 812 131
385 559 773 426 535
786 922 225 508 44
815 819 297 829 684
951 414 759 605 674
257 842 850 170 286
158 555 798 232 99
479 205 170 776 211
218 63 217 485 195
508 116 763 469 410
716 372 28 896 437
99 272 888 865 575
28 207 967 41 619
412 794 581 466 83
529 290 111 422 782
466 521 315 180 720
665 880 545 237 68
851 104 982 617 598
999 528 141 381 417
594 147 72 808 672
697 557 485 99 385
393 973 82 348 80
962 30 683 928 476
478 91 195 763 597
420 997 327 951 265
91 245 287 900 119
611 508 327 626 40
559 642 442 847 742
736 100 44 662 262
589 825 334 674 80
293 373 845 898 644
78 83 263 441 709
292 449 896 334 80
462 235 1 282 339
424 110 134 860 896
818 747 486 327 688
39 39 39 57 57
95 589 596 638 340
505 911 166 839 431
511 218 511 511 330
275 123 904 220 628
49 219 813 754 108
163 148 116 351 768
99 841 613 117 264
509 318 405 86 275
761 522 582 188 113
39 292 103 561 951
674 391 117 2 245
659 972 84 692 758
60 112 6 607 519
967 255 208 514 941
573 937 624 813 372
450 52 24 598 873
857 254 121 90 535
119 368 164 969 22
108 541 183 793 479
80 792 528 673 782
220 512 139 532 635
926 160 573 649 794
451 606 405 572 448
883 944 510 498 390
767 180 640 28 359
586 358 823 474 740
728 115 188 79 590
427 925 740 722 308
52 263 859 264 938
951 542 345 215 125
849 414 714 846 980
1 870 481 692 154
