658,855,781,937,705
209,794,335,562,775
929,667,591,831,755
718,733,899,933,722
600,621,939,541,702
455,527,934,959,526
951,414,759,605,674
145,756,55,572,487
659,675,151,172,134
883,944,510,498,390
914,990,902,666,977
488,694,945,483,493
396,568,23,623,119
988,641,608,940,427
593,782,619,414,831
799,38,309,262,463
776,739,586,955,635
217,190,752,638,770
785,111,766,947,12
995,736,647,564,846
162,303,585,839,747
311,311,583,112,292
14,224,461,610,544
362,577,861,952,382
576,115,767,638,366
417,417,69,274,417
898,551,609,853,436
720,704,988,863,855
554,729,246,177,412
495,171,536,360,154
646,582,870,613,551
533,511,611,692,473
441,121,749,756,736
47,554,316,428,283
880,825,225,28,777
321,569,260,889,999
224,984,152,849,523
400,522,882,578,625
370,976,15,232,232
107,479,723,582,492
521,375,862,903,533
282,70,892,527,99
462,558,722,901,986
271,731,779,560,535
438,333,525,937,705
844,960,159,697,522
618,618,618,536,812
153,101,807,869,891
565,887,601,553,841
318,857,121,749,745
672,406,595,341,34
547,969,578,644,472
248,308,589,850,788
900,380,408,822,487
245,72,245,227,245
546,509,572,893,495
929,714,417,384,988
271,775,901,644,922
641,159,788,601,563
819,416,22,535,23
518,925,895,783,405
154,711,587,733,723
713,555,234,839,596
533,431,924,393,760
258,602,653,833,26
293,580,756,587,906
510,69,258,842,667
330,993,439,978,827
379,983,447,883,725
397,880,201,590,254
439,766,375,711,456
391,782,957,586,891
977,684,500,573,784
355,911,926,689,539
260,999,701,534,360
917,580,491,984,388
24,597,753,659,344
241,916,945,119,363
631,953,439,975,182
456,340,911,889,499
940,497,654,366,323
307,997,474,852,375
647,728,903,323,621
444,109,512,232,842
754,460,421,316,678
949,80,11,995,679
886,975,144,832,321
908,414,537,916,506
426,385,354,856,830
488,454,930,607,327
637,985,78,694,892
982,956,909,592,84
976,623,531,543,377
984,542,830,819,308
263,499,482,971,277
550,389,921,593,711
897,738,448,401,676
722,476,545,455,483
485,394,166,111,432
906,463,615,603,417
468,875,347,928,531
410,683,463,638,567
575,504,749,44,758
596,790,916,338,438
493,988,710,632,134
525,831,560,965,352
698,855,239,907,456
752,520,167,809,752
353,518,847,545,860
503,804,1,612,688
549,866,148,893,750
515,444,460,673,328
420,535,353,655,951
588,745,728,203,705
78,430,809,585,820
989,275,722,279,560
62,974,486,431,869
563,540,541,978,707
649,556,894,992,98
750,208,858,522,213
986,218,494,94,891
237,991,608,689,746
496,260,517,716,120
564,150,189,365,796
896,731,919,447,736
126,815,937,601,410
444,655,421,849,989
549,403,604,410,812
749,531,899,956,415
670,305,763,367,807
206,845,710,629,305
1000,539,389,443,381
149,828,770,53,801
393,548,528,598,442
296,957,574,256,327
911,902,421,828,421
429,765,163,3,805
669,7,690,2,709
496,517,915,190,265
308,979,265,812,131
875,439,443,362,940
214,838,38,691,547
458,465,734,931,68
529,118,681,386,456
364,904,611,433,826
511,983,508,238,513
309,906,165,309,165
356,997,209,440,609
529,766,241,285,764
905,137,477,990,132
815,819,297,829,684
280,435,180,899,933
632,808,451,485,337
703,475,599,511,381
908,261,339,470,975
272,608,254,534,876
508,116,763,469,410
794,422,477,633,429
99,272,888,865,575
488,785,140,325,497
452,775,911,952,250
529,290,111,422,782
352,55,944,896,417
665,880,545,237,68
851,104,982,617,598
799,399,476,856,210
594,147,72,808,672
697,557,485,99,385
311,899,630,662,414
962,30,683,928,476
478,91,195,763,597
764,290,975,68,424
420,997,327,951,265
611,508,327,626,40
559,642,442,847,742
537,205,207,346,829
589,825,334,674,80
640,223,386,488,327
894,42,942,983,358
959,347,241,52,423
462,235,1,282,339
677,285,881,554,863
818,747,486,327,688
39,39,39,57,57
95,589,596,638,340
505,911,166,839,431
511,218,511,511,330
275,123,904,220,628
49,219,813,754,108
424,110,134,860,896
902,140,308,412,333
934,294,291,852,958
761,522,582,188,113
499,322,982,237,824
947,276,407,767,935
659,972,84,692,758
843,149,939,413,505
696,463,443,470,824
573,937,624,813,372
450,52,24,598,873
768,721,418,109,440
902,503,841,160,321
243,841,350,271,896
80,792,528,673,782
220,512,139,532,635
926,160,573,649,794
178,518,962,758,183
699,202,681,992,357
767,180,640,28,359
342,323,918,925,10
728,115,188,79,590
427,925,740,722,308
52,263,859,264,938
330,664,755,931,501
849,414,714,846,980
1,870,481,692,154
210,500,964,656,342
819,513,541,402,509
929,449,943,773,301
961,952,583,658,851
916,731,68,892,608
512,683,168,578,977
270,839,831,273,738
488,115,430,816,375
736,664,339,558,463
422,584,312,299,743
893,72,895,394,449
921,796,332,359,399
848,986,668,518,89
903,448,117,401,682
346,839,789,568,442
546,26,384,220,53
166,434,952,519,650
967,255,208,514,941
948,558,696,173,758
